Location,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps
Sakhir,Bahrain Grand Prix,https://press.pirelli.com/2023-bahrain-grand-prix---preview/,4,3,5,4,3,4,3,3,21.0,18.5,C1,C2,C3,5.412,57
Jeddah,Saudi Arabian Grand Prix,https://press.pirelli.com/2023-saudi-arabia-grand-prix---preview/,2,3,2,4,3,2,3,2,22.5,21.0,C2,C3,C4,6.174,50
Melbourne,Australian Grand Prix,https://press.pirelli.com/2023-australian-grand-prix---preview/,2,3,2,4,3,2,3,3,23.0,21.0,C2,C3,C4,5.278,58
Baku,Azerbaijan Grand Prix,https://press.pirelli.com/2023-azerbaijan-grand-prix--preview-0/,5,1,1,5,3,4,1,1,25.0,23.0,C3,C4,C5,6.003,51
Miami,Miami Grand Prix,https://press.pirelli.com/2023-miami-grand-prix---preview-0/,3,3,2,5,3,3,3,2,24.0,20.5,C2,C3,C4,5.412,57
Monaco,Monaco Grand Prix,https://press.pirelli.com/2023-monaco-grand-prix--preview/,5,1,1,5,1,2,1,5,21.0,19.5,C3,C4,C5,3.337,78
Barcelona,Spanish Grand Prix,https://press.pirelli.com/2023-spanish-grand-prix---preview-0/,3,3,4,3,5,3,5,4,23.0,20.0,C1,C2,C3,4.657,66
Montréal,Canadian Grand Prix,https://press.pirelli.com/2023-canadian-grand-prix---preview-0/,5,1,2,5,3,5,1,1,22.0,20.5,C3,C4,C5,4.361,70
Spielberg,Austrian Grand Prix,https://press.pirelli.com/no-rest-for-the-tyres-at-spielberg/,2,3,4,3,3,3,3,3,23.0,20.0,C3,C4,C5,4.318,71
Silverstone,British Grand Prix,https://press.pirelli.com/an-important-debut-on-one-of-the-toughest-tracks-for-tyres/,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52
Budapest,Hungarian Grand Prix,https://press.pirelli.com/two-innovations-for-a-summer-classic/,4,3,2,4,3,3,3,5,22.0,19.0,C3,C4,C5,4.381,70
Spa-Francorchamps,Belgian Grand Prix,https://press.pirelli.com/two-races-for-spa-this-year/,4,3,4,3,5,4,5,2,25.0,23.0,C2,C3,C4,7.004,44
Zandvoort,Dutch Grand Prix,https://press.pirelli.com/formula-1-resumes-in-zandvoort-with-the-thrill-of-the-banking/,4,2,3,4,5,3,4,4,24.0,21.0,C1,C2,C3,4.259,72
Monza,Italian Grand Prix,https://press.pirelli.com/speed-plays-a-starring-role-at-pirellis-home-race/,3,2,3,3,3,4,2,1,24.5,22.5,C3,C4,C5,5.793,53
Marina Bay,Singapore Grand Prix,https://press.pirelli.com/a-new-challenge-for-the-singapore-night-race/,4,3,3,4,2,5,2,5,22.0,19.0,C3,C4,C5,4.940,62
Suzuka,Japanese Grand Prix,https://press.pirelli.com/formula-1-heads-to-suzuka--with-an-eye-on-2024/,3,3,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53
Lusail,Qatar Grand Prix,https://press.pirelli.com/another-new-beginning-in-qatar/,3,3,3,4,5,3,5,4,25.0,21.5,C1,C2,C3,5.419,57
Austin,United States Grand Prix,https://press.pirelli.com/austin-the-start-of-an-american-journey/,4,3,4,4,4,3,4,4,23.0,20.0,C2,C3,C4,5.513,56
Mexico City,Mexico City Grand Prix,https://press.pirelli.com/more-strategies-possible-in-mexico-thanks-to-the-tyre-choices/,3,1,2,3,2,3,2,5,23.5,20.5,C3,C4,C5,4.304,71
São Paulo,São Paulo Grand Prix,https://press.pirelli.com/the-final-sprint-weekend-of-the-season-in-brazil/,3,3,4,4,3,3,3,4,23.0,21.0,C2,C3,C4,4.309,71
Las Vegas,Las Vegas Grand Prix,https://press.pirelli.com/viva-las-vegas/,2,3,3,5,3,3,2,1,27.0,24.5,C3,C4,C5,6.201,50
Yas Island,Abu Dhabi Grand Prix,https://press.pirelli.com/abu-dhabi-brings-the-season-to-a-close-with-a-test-as-well/,4,4,3,4,3,4,3,3,22.0,20.0,C3,C4,C5,5.281,58
